order_id,amount,profit,category,city,order_date,state,customername,customer_id,product_id,date_id
B-26776,9726,1275,Electronics,Miami,2023-06-27,Florida,David Padilla,1,1.0,1
B-26776,9726,1275,Electronics,Chicago,2024-12-27,Illinois,Connor Morgan,2,2.0,2
B-26776,9726,1275,Electronics,Buffalo,2021-07-25,New York,Robert Stone,3,3.0,3
B-26776,4975,1330,Electronics,Miami,2023-06-27,Florida,David Padilla,4,4.0,4
B-26776,4975,1330,Electronics,Chicago,2024-12-27,Illinois,Connor Morgan,5,5.0,5
B-26776,4975,1330,Electronics,Buffalo,2021-07-25,New York,Robert Stone,6,6.0,6
B-26942,1525,185,Office Supplies,Orlando,2024-05-11,Florida,John Fields,7,7.0,7
B-26942,1525,185,Office Supplies,Miami,2021-10-09,Florida,Clayton Smith,8,8.0,8
B-26640,883,117,Electronics,Los Angeles,2022-11-18,California,Richard Kelley,9,9.0,9
B-26640,8127,3551,Furniture,Los Angeles,2022-11-18,California,Richard Kelley,10,10.0,10
B-25890,2516,734,Furniture,New York City,2023-11-12,New York,Jacqueline Hubbard,11,11.0,11
B-25102,2975,462,Office Supplies,New York City,2020-03-23,New York,Jessica Anderson,12,12.0,12
B-25426,6851,2812,Office Supplies,Orlando,2020-05-04,Florida,Mary Taylor,13,13.0,13
B-25426,7626,1046,Furniture,Orlando,2020-05-04,Florida,Mary Taylor,14,14.0,14
B-25426,1023,78,Furniture,Orlando,2020-05-04,Florida,Mary Taylor,15,15.0,15
B-25238,7600,1098,Office Supplies,Springfield,2023-11-09,Illinois,Walter Crawford,16,16.0,16
B-25238,7501,262,Office Supplies,Springfield,2023-11-09,Illinois,Walter Crawford,17,17.0,17
B-25051,725,133,Office Supplies,Rochester,2024-12-30,New York,Lawrence Robinson,18,18.0,18
B-25051,7201,2685,Furniture,Rochester,2024-12-30,New York,Lawrence Robinson,19,19.0,19
B-26510,1629,265,Office Supplies,Dallas,2025-02-11,Texas,Douglas Pennington,20,20.0,20
B-26510,1629,265,Office Supplies,San Diego,2024-01-23,California,Ricardo Andrews,21,21.0,21
B-25104,8971,2971,Office Supplies,San Diego,2020-11-28,California,Paul Raymond,22,22.0,22
B-25104,2939,894,Office Supplies,San Diego,2020-11-28,California,Paul Raymond,23,23.0,23
B-25553,9380,414,Electronics,Rochester,2024-05-30,New York,Karen Johnson,24,24.0,24
B-25553,8558,1644,Office Supplies,Rochester,2024-05-30,New York,Karen Johnson,25,25.0,25
B-25553,4080,72,Office Supplies,Rochester,2024-05-30,New York,Karen Johnson,26,26.0,26
B-26703,4206,1821,Electronics,Austin,2022-01-23,Texas,Juan Erickson,27,27.0,27
B-26232,5219,1180,Office Supplies,New York City,2021-12-17,New York,Alexander Reed,28,28.0,28
B-26232,5219,1180,Office Supplies,San Francisco,2023-02-03,California,Jacqueline Harris,29,29.0,29
B-25394,3686,760,Office Supplies,San Francisco,2022-10-30,California,Tyler Park,30,30.0,30
B-25394,3686,760,Office Supplies,Columbus,2022-01-15,Ohio,Richard Wolfe,31,31.0,31
B-26157,6045,1606,Office Supplies,Orlando,2023-12-14,Florida,Sierra Rios,32,32.0,32
B-26157,9337,554,Office Supplies,Orlando,2023-12-14,Florida,Sierra Rios,33,33.0,33
B-25555,4051,1848,Electronics,San Diego,2023-07-03,California,Jessica Richardson,34,34.0,34
B-25555,4051,1848,Electronics,Cincinnati,2021-05-08,Ohio,Kimberly Warren,35,35.0,35
B-25555,5011,866,Furniture,San Diego,2023-07-03,California,Jessica Richardson,36,36.0,36
B-25555,5011,866,Furniture,Cincinnati,2021-05-08,Ohio,Kimberly Warren,37,37.0,37
B-26139,3958,630,Furniture,Orlando,2022-10-07,Florida,Casey Garcia,38,38.0,38
B-26139,3132,963,Furniture,Orlando,2022-10-07,Florida,Casey Garcia,39,39.0,39
B-25032,7784,2937,Office Supplies,San Francisco,2024-08-06,California,Denise Hampton,40,40.0,40
B-25032,5591,1696,Office Supplies,San Francisco,2024-08-06,California,Denise Hampton,41,41.0,41
B-25032,5122,2413,Electronics,San Francisco,2024-08-06,California,Denise Hampton,42,42.0,42
B-25730,8293,2632,Office Supplies,Cleveland,2022-01-05,Ohio,Justin Rodriguez,43,43.0,43
B-25730,8293,2632,Office Supplies,Rochester,2020-10-17,New York,Ms. Emily Baxter,44,44.0,44
B-25730,8293,2632,Office Supplies,Los Angeles,2023-08-21,California,Austin White,45,45.0,45
B-25730,2863,205,Electronics,Cleveland,2022-01-05,Ohio,Justin Rodriguez,46,46.0,46
B-25730,2863,205,Electronics,Rochester,2020-10-17,New York,Ms. Emily Baxter,47,47.0,47
B-25730,2863,205,Electronics,Los Angeles,2023-08-21,California,Austin White,48,48.0,48
B-26470,3090,573,Furniture,San Diego,2024-12-27,California,Morgan Montes,49,49.0,49
B-26470,3090,573,Furniture,Cincinnati,2021-06-18,Ohio,Christine Mosley,50,50.0,50
B-26470,3090,573,Furniture,Austin,2023-05-27,Texas,Ashley Rodriguez,51,51.0,51
B-26470,3090,573,Furniture,Dallas,2021-10-12,Texas,Elizabeth King,52,52.0,52
B-26470,9683,1014,Electronics,San Diego,2024-12-27,California,Morgan Montes,53,53.0,53
B-26470,9683,1014,Electronics,Cincinnati,2021-06-18,Ohio,Christine Mosley,54,54.0,54
B-26470,9683,1014,Electronics,Austin,2023-05-27,Texas,Ashley Rodriguez,55,55.0,55
B-26470,9683,1014,Electronics,Dallas,2021-10-12,Texas,Elizabeth King,56,56.0,56
B-25988,2463,648,Furniture,Cincinnati,2022-09-19,Ohio,Connie Holmes,57,57.0,57
B-25568,7811,1538,Furniture,Miami,2022-03-25,Florida,Melissa Peck,58,58.0,58
B-26730,6139,451,Furniture,Orlando,2022-02-26,Florida,David Smith,59,59.0,59
B-26730,6139,451,Furniture,Houston,2021-04-05,Texas,Jacqueline Harris,60,60.0,60
B-26730,8636,3192,Furniture,Orlando,2022-02-26,Florida,David Smith,61,61.0,61
B-26730,8636,3192,Furniture,Houston,2021-04-05,Texas,Jacqueline Harris,62,62.0,62
B-26730,4439,1712,Furniture,Orlando,2022-02-26,Florida,David Smith,63,63.0,63
B-26730,4439,1712,Furniture,Houston,2021-04-05,Texas,Jacqueline Harris,64,64.0,64
B-25372,1016,172,Furniture,Buffalo,2020-11-16,New York,Heather Jenkins,65,65.0,65
B-25372,5768,2059,Furniture,Buffalo,2020-11-16,New York,Heather Jenkins,66,66.0,66
B-25372,1217,151,Furniture,Buffalo,2020-11-16,New York,Heather Jenkins,67,67.0,67
B-26026,953,93,Office Supplies,Cleveland,2024-12-12,Ohio,Kelsey Castaneda,68,68.0,68
B-26026,953,93,Office Supplies,Los Angeles,2023-04-06,California,Katherine Harris,69,69.0,69
B-26026,7355,1034,Furniture,Cleveland,2024-12-12,Ohio,Kelsey Castaneda,70,70.0,70
B-26026,7355,1034,Furniture,Los Angeles,2023-04-06,California,Katherine Harris,71,71.0,71
